time,open,high,low,close,volume
2023-06-20,46.76,46.76,46.25,46.61,505150
2023-06-21,46.83,46.83,46.17,46.47,872742
2023-06-22,46.61,46.61,46.03,46.39,980547
2023-06-23,46.39,46.91,46.17,46.17,849453
2023-06-26,46.1,46.61,45.81,45.88,870505
2023-06-27,46.1,46.47,45.88,46.1,833178
2023-06-28,46.25,47.86,46.25,47.86,2405554
2023-06-29,48.23,48.23,46.83,46.83,728864
2023-06-30,46.83,48.15,46.83,47.86,1825006
2023-07-03,47.93,48.37,47.86,47.86,833386
2023-07-04,47.86,48.01,47.35,48.01,812622
2023-07-05,48.08,49.4,47.71,48.15,1517858
2023-07-06,48.37,48.59,47.64,47.79,1185435
2023-07-07,47.71,47.86,47.27,47.86,961181
2023-07-10,48.37,48.67,47.86,48.23,1491748
2023-07-11,48.52,48.52,47.79,48.37,677015
2023-07-12,48.74,48.74,47.71,47.71,805957
2023-07-13,48.01,48.81,47.86,48.45,987093
2023-07-14,48.52,48.59,47.93,48.45,685142
2023-07-17,48.45,48.45,47.93,47.93,710061
2023-07-18,47.79,48.15,47.71,47.93,665829
2023-07-19,47.86,48.15,47.57,47.71,510570
2023-07-20,47.71,47.93,47.13,47.42,865269
2023-07-21,47.27,48.23,47.2,48.01,893221
2023-07-24,48.45,48.45,47.57,47.57,739280
2023-07-25,47.64,48.23,47.64,47.93,739161
2023-07-26,48.08,49.84,47.86,49.84,2448896
2023-07-27,49.48,49.92,48.96,49.26,833540
2023-07-28,49.11,50.28,48.81,49.92,1285943
2023-07-31,49.55,49.92,48.81,49.18,1140195
2023-08-01,49.33,49.4,48.08,48.08,1265558
2023-08-02,48.08,48.52,47.64,47.64,1263883
2023-08-03,47.71,48.3,47.42,47.64,862517
2023-08-04,47.57,47.71,46.98,46.98,2040421
2023-08-07,47.2,47.64,47.2,47.64,648733
2023-08-08,48.01,48.01,47.57,47.64,748883
2023-08-09,47.57,47.64,47.13,47.13,838505
2023-08-10,47.13,47.35,46.17,46.17,1525086
2023-08-11,46.17,46.69,45.95,46.39,871250
2023-08-14,46.76,47.2,46.39,46.61,408527
2023-08-15,46.83,46.83,46.25,46.47,600477
2023-08-16,46.54,46.61,46.32,46.32,365467
2023-08-17,46.32,46.54,46.03,46.03,676041
2023-08-18,46.03,46.25,44.41,44.41,1744875
2023-08-21,44.19,44.92,44.04,44.78,822004
2023-08-22,44.63,45.0,43.97,44.85,749811
2023-08-23,45.07,45.22,44.63,44.85,306271
2023-08-24,44.63,45.14,44.63,45.14,446757
2023-08-25,45.14,45.14,44.78,45.14,418203
2023-08-28,45.51,46.25,45.29,46.25,538127
2023-08-29,46.39,46.47,45.66,46.1,427948
2023-08-30,45.81,46.25,45.66,46.25,479591
2023-08-31,46.25,46.54,45.95,46.1,788838
2023-09-05,46.61,46.83,46.32,46.83,620256
2023-09-06,46.83,47.42,46.69,47.05,646095
2023-09-07,47.13,47.27,46.61,46.69,847499
2023-09-08,46.91,47.2,46.61,46.98,940524
2023-09-11,47.27,47.27,46.61,46.69,1054794
2023-09-12,46.47,46.76,46.25,46.54,797982
2023-09-13,46.91,46.91,46.47,46.54,869309
2023-09-14,46.61,46.76,46.1,46.17,632474
2023-09-15,46.25,46.69,46.17,46.25,336427
2023-09-18,46.61,46.61,45.81,45.88,691605
2023-09-19,46.03,46.91,45.66,46.61,625165
2023-09-20,46.61,47.2,46.54,47.2,955293
2023-09-21,47.27,48.45,47.27,48.08,1530828
2023-09-22,47.71,47.79,46.47,46.61,1018553
2023-09-25,46.61,47.2,45.36,45.36,1047856
2023-09-26,45.36,45.88,45.29,45.44,782035
2023-09-27,45.73,46.25,45.36,46.17,399230
2023-09-28,46.25,46.61,45.66,46.61,561754
2023-09-29,46.61,47.05,46.32,46.39,335012
2023-10-02,46.69,47.13,46.47,46.61,359582
2023-10-03,46.1,46.61,45.36,45.51,685583
2023-10-04,45.36,46.61,45.29,46.1,615413
2023-10-05,46.61,46.61,45.51,45.51,311214
2023-10-06,45.95,45.95,45.29,45.66,398077
2023-10-09,45.51,45.66,45.29,45.44,452325
2023-10-10,45.95,46.47,45.66,45.95,523187
2023-10-11,46.25,46.25,45.59,45.95,269139
2023-10-12,46.17,46.69,46.1,46.17,465679
2023-10-13,45.66,46.1,45.66,46.1,297869
2023-10-16,46.1,46.39,45.51,45.66,323672
2023-10-17,45.73,46.1,45.22,45.22,324256
2023-10-18,45.22,45.29,42.94,44.34,668458
2023-10-19,44.34,44.48,43.68,43.75,252141
2023-10-20,43.68,44.41,43.31,44.34,199625
2023-10-23,44.63,44.63,43.31,43.46,209852
2023-10-24,43.31,43.82,43.31,43.75,173379
2023-10-25,43.9,43.97,43.31,43.31,269155
2023-10-26,42.65,43.6,41.11,41.11,799546
2023-10-27,41.25,41.47,39.27,40.37,618219
2023-10-30,40.23,40.67,40.08,40.08,227534
2023-10-31,40.15,40.37,38.32,38.61,392125
2023-11-01,38.91,39.13,37.22,38.24,482366
2023-11-02,38.91,40.3,38.61,40.08,445340
2023-11-03,40.52,40.52,38.91,38.91,888986
2023-11-06,39.42,40.67,39.42,40.67,407350
2023-11-07,40.67,41.11,40.23,40.52,397007
2023-11-08,40.52,42.21,40.3,41.84,521311
2023-11-09,41.84,42.58,41.47,41.84,325065
2023-11-10,42.21,43.09,41.62,42.14,398864
2023-11-13,42.14,42.58,41.84,42.06,249709
2023-11-14,42.14,42.58,41.69,42.5,364754
2023-11-15,43.16,43.24,42.5,42.8,275194
2023-11-16,42.65,42.8,42.28,42.5,152990
2023-11-17,42.5,43.16,42.28,42.58,489196
2023-11-20,41.91,42.65,41.84,42.43,450499
2023-11-21,42.58,42.72,41.99,42.36,204329
2023-11-22,42.8,42.8,42.21,42.21,201510
2023-11-23,42.87,42.87,42.21,42.21,190511
2023-11-24,42.14,42.21,41.62,41.91,299625
2023-11-27,41.91,42.06,41.69,41.77,165522
2023-11-28,42.21,42.21,41.69,41.99,146629
2023-11-29,41.99,42.43,41.99,42.28,180323
2023-11-30,42.28,42.5,41.91,41.91,136881
2023-12-01,42.06,42.36,41.77,42.06,124796
2023-12-04,42.14,42.72,42.06,42.58,622566
2023-12-05,42.94,44.04,42.94,43.53,584262
2023-12-06,43.53,43.6,43.02,43.16,222697
2023-12-07,43.16,43.6,42.28,42.58,443836
2023-12-08,42.58,43.46,42.28,43.46,539569
2023-12-11,43.46,43.9,43.09,43.09,237332
2023-12-12,43.09,43.38,42.8,43.31,287383
2023-12-13,43.46,43.46,42.21,42.36,588444
2023-12-14,42.65,42.87,41.91,41.91,278537
2023-12-15,41.99,42.58,41.47,41.62,513564
2023-12-18,41.99,41.99,41.11,41.69,497495
2023-12-19,41.33,41.84,41.11,41.33,288690
2023-12-20,41.4,41.69,41.03,41.33,408673
2023-12-21,41.11,41.55,40.74,41.47,533985
2023-12-22,41.62,41.62,40.96,40.96,383418
2023-12-25,40.96,41.47,40.89,41.18,480478
2023-12-26,41.33,41.4,40.96,40.96,623147
2023-12-27,41.03,41.47,41.03,41.4,527778
2023-12-28,41.62,41.69,41.33,41.4,346945
2023-12-29,41.84,42.21,41.4,41.69,712798
2024-01-02,42.21,42.8,41.91,42.21,779590
2024-01-03,42.21,42.43,41.91,42.28,376152
2024-01-04,42.5,43.16,42.21,42.36,899128
2024-01-05,42.36,42.43,42.06,42.14,555100
2024-01-08,42.14,42.43,41.69,41.69,920506
2024-01-09,41.4,41.62,41.11,41.18,1088205
2024-01-10,41.33,41.4,40.81,40.96,684484
2024-01-11,40.96,41.18,40.81,40.96,430404
2024-01-12,40.89,40.96,40.37,40.45,792673
2024-01-15,40.45,40.96,40.45,40.52,193593
2024-01-16,40.59,41.03,40.3,40.81,311396
2024-01-17,40.81,41.4,40.59,41.18,350082
2024-01-18,41.25,41.33,40.81,40.89,296824
2024-01-19,40.89,41.4,40.74,41.11,288408
2024-01-22,41.47,41.47,41.03,41.18,218338
2024-01-23,41.18,42.14,41.11,41.77,495237
2024-01-24,41.77,41.84,41.33,41.69,232377
2024-01-25,41.47,41.69,40.96,41.33,357292
2024-01-26,41.18,41.47,41.11,41.25,415943
2024-01-29,41.25,41.69,41.18,41.47,338629
2024-01-30,41.33,41.55,41.11,41.4,710711
2024-01-31,41.62,41.69,40.89,41.11,592351
2024-02-01,41.11,41.4,40.59,40.67,886542
2024-02-02,40.59,41.18,40.37,40.37,725061
2024-02-05,40.59,41.25,40.52,40.74,594933
2024-02-06,40.74,41.55,40.74,41.25,610931
2024-02-07,41.47,41.62,41.33,41.47,323806
2024-02-15,41.55,43.31,41.55,42.8,1291392
2024-02-16,42.8,43.9,42.8,43.09,891768
2024-02-19,43.31,43.53,42.87,43.46,1088195
2024-02-20,43.53,43.53,42.94,43.16,626086
2024-02-21,43.16,44.34,42.94,44.19,1074514
2024-02-22,44.26,44.26,43.68,43.75,466586
2024-02-23,43.82,44.04,42.94,42.94,1051386
2024-02-26,43.24,43.24,42.58,42.65,840189
2024-02-27,43.16,43.53,42.8,43.38,655015
2024-02-28,43.68,45.0,43.46,44.92,1565959
2024-02-29,44.92,45.66,44.78,44.92,981417
2024-03-01,44.92,46.17,44.92,45.73,1219253
2024-03-04,45.73,46.39,45.36,45.66,1404079
2024-03-05,45.73,46.54,45.44,46.47,1129980
2024-03-06,46.32,46.39,45.66,45.81,757384
2024-03-07,45.73,46.32,45.66,46.25,1108310
2024-03-08,46.25,47.42,46.1,46.32,1690974
2024-03-11,46.25,46.25,45.07,45.51,1057379
2024-03-12,45.51,46.17,45.22,45.51,1020734
2024-03-13,45.95,47.13,45.73,46.69,1471115
2024-03-14,47.13,47.57,46.76,47.2,1257473
2024-03-15,47.35,47.35,46.25,46.98,809650
2024-03-18,46.98,46.98,44.48,45.29,1555213
2024-03-19,45.81,45.81,44.92,45.36,905943
2024-03-20,45.44,45.73,44.85,45.59,823360
2024-03-21,46.17,46.32,45.59,46.17,968157
